epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.787814,0,30.2263,0,0,0,0,0,0,6.16964,0,0,0,0
2,1.55773,0,30.2151,0,0,0,0,0,0,6.17444,0,1.934e-05,1.934e-05,1.934e-05
3,2.22677,0,30.0986,0,0,0,0,0,0,6.17965,0,3.736e-05,3.736e-05,3.736e-05
4,2.9244,0,29.9228,0,0,0,0,0,0,6.18419,0,5.406e-05,5.406e-05,5.406e-05
5,3.68012,0,29.6554,0,0,0,0,0,0,6.18876,0,6.944e-05,6.944e-05,6.944e-05
6,4.44289,0,29.4306,0,0,0,0,0,0,6.19147,0,8.35e-05,8.35e-05,8.35e-05
7,5.18286,0,29.3498,0,0,0,0,0,0,6.19293,0,9.624e-05,9.624e-05,9.624e-05
8,5.85093,0,29.2208,0,0,0,0,0,0,6.19443,0,0.00010766,0.00010766,0.00010766
9,6.55391,0,29.1017,0,0,0,0,0,0,6.19443,0,0.00011776,0.00011776,0.00011776
10,7.30752,0,29.1857,0,0,0,0,0,0,6.19774,0,0.00012654,0.00012654,0.00012654
11,8.0894,0,28.9142,0,0,0,0,0,0,6.19774,0,0.000134,0.000134,0.000134
12,8.79365,0,28.9926,0,0,0,0,0,0,6.20353,0,0.00014014,0.00014014,0.00014014
13,9.51435,0,28.7643,0,0,0,0,0,0,6.20353,0,0.00014496,0.00014496,0.00014496
14,10.1523,0,28.7776,0,0,0,0,0,0,6.21186,0,0.00014846,0.00014846,0.00014846
15,10.8274,0,28.5146,0,0,0,0,0,0,6.21186,0,0.00015064,0.00015064,0.00015064
16,11.5436,0,28.5474,0,0,0,0,0,0,6.22214,0,0.0001515,0.0001515,0.0001515
17,12.2379,0,28.3963,0,0,0,0,0,0,6.22214,0,0.00015104,0.00015104,0.00015104
18,12.958,0,28.4063,0,0,0,0,0,0,6.23352,0,0.00014926,0.00014926,0.00014926
19,13.6557,0,28.2184,0,0,0,0,0,0,6.23352,0,0.00014616,0.00014616,0.00014616
20,14.3578,0,28.2478,0,0,0,0,0,0,6.24492,0,0.00014174,0.00014174,0.00014174
21,14.9786,0,27.983,0,0,0,0,0,0,6.24492,0,0.000136,0.000136,0.000136
22,15.6047,0,28.0685,0,0,0,0,0,0,6.25435,0,0.00012894,0.00012894,0.00012894
23,16.2062,0,27.8246,0,0,0,0,0,0,6.25435,0,0.00012056,0.00012056,0.00012056
24,16.8782,0,27.8654,0,0,0,0,0,0,6.25435,0,0.00011086,0.00011086,0.00011086
25,17.5597,0,27.8481,0,0,0,0,0,0,6.2593,0,9.984e-05,9.984e-05,9.984e-05
26,18.1602,0,27.7336,0,0,0,0,0,0,6.2593,0,8.75e-05,8.75e-05,8.75e-05
27,18.7948,0,27.6767,0,0,0,0,0,0,6.2593,0,7.384e-05,7.384e-05,7.384e-05
28,19.4586,0,27.646,0,0,0,0,0,0,6.25988,0,5.886e-05,5.886e-05,5.886e-05
29,20.0765,0,27.4638,0,0,0,0,0,0,6.25988,0,4.256e-05,4.256e-05,4.256e-05
30,20.6955,0,27.6441,0,0,0,0,0,0,6.25988,0,2.494e-05,2.494e-05,2.494e-05
