epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.4468,1.40973,3.67994,1.74125,0.02113,0.84162,0.23324,0.18598,0.45056,4.06685,0.95428,0.00012304,0.00012304,0.00012304
2,148.794,1.34992,3.03636,1.64215,0.72593,0.14245,0.27312,0.23546,0.60381,3.72436,1.05374,0.000251258,0.000251258,0.000251258
3,217.035,1.28919,2.71287,1.63314,0.48977,0.51832,0.28889,0.23765,0.68271,3.17611,1.14628,0.000376887,0.000376887,0.000376887
4,286.636,1.17706,2.35885,1.55221,0.50769,0.54326,0.34049,0.27854,0.66204,3.00114,1.14597,0.000499928,0.000499928,0.000499928
5,355.436,1.29932,2.28699,1.60526,0.66074,0.32517,0.47092,0.35511,0.90062,2.9489,1.38075,0.00062038,0.00062038,0.00062038
6,428.156,1.1948,2.02356,1.51324,0.58575,0.42934,0.53631,0.38946,0.74635,3.2249,1.23802,0.000730935,0.000730935,0.000730935
7,500.139,1.17062,1.91545,1.51223,0.76716,0.45286,0.5822,0.40355,0.70625,2.71924,1.17767,0.000723321,0.000723321,0.000723321
8,568.389,1.14317,1.86707,1.46668,0.51342,0.66449,0.64404,0.49648,0.77015,2.97471,1.26915,0.000715708,0.000715708,0.000715708
9,636.384,1.14896,1.82291,1.49819,0.75281,0.61881,0.74349,0.55066,0.83708,2.39463,1.31746,0.000708095,0.000708095,0.000708095
10,703.585,1.14957,1.81037,1.49752,0.63177,0.65365,0.70243,0.55758,0.64225,2.94549,1.14901,0.000700482,0.000700482,0.000700482
11,770.376,1.10786,1.79581,1.4704,0.53669,0.68553,0.7311,0.56971,0.80239,2.12864,1.29895,0.000692869,0.000692869,0.000692869
12,837.292,1.07518,1.67505,1.42684,0.83976,0.63219,0.75051,0.5631,0.69017,1.96841,1.1749,0.000685256,0.000685256,0.000685256
13,904.556,1.08727,1.64337,1.41463,0.7721,0.73797,0.77809,0.63705,0.63572,1.7523,1.12404,0.000677643,0.000677643,0.000677643
14,972.568,1.08701,1.63702,1.4332,0.70579,0.72244,0.7695,0.60197,0.7922,1.98914,1.227,0.00067003,0.00067003,0.00067003
15,1040.05,1.0366,1.57792,1.3745,0.72931,0.79432,0.80097,0.62662,0.73492,1.56529,1.25336,0.000662417,0.000662417,0.000662417
16,1107.34,1.01596,1.55114,1.36839,0.81653,0.69006,0.78578,0.61175,0.74198,1.90843,1.28102,0.000654804,0.000654804,0.000654804
17,1174.76,1.03623,1.54085,1.39971,0.72604,0.76482,0.84044,0.67087,0.7717,1.83882,1.33017,0.00064719,0.00064719,0.00064719
18,1242.34,1.04607,1.51975,1.39199,0.90216,0.6444,0.81377,0.68618,0.66767,1.56907,1.15315,0.000639577,0.000639577,0.000639577
19,1309.84,0.99015,1.48823,1.37553,0.77663,0.86268,0.85923,0.71394,0.63218,1.64504,1.1159,0.000631964,0.000631964,0.000631964
20,1376.94,0.99752,1.56329,1.36962,0.80489,0.85426,0.85121,0.71047,0.58151,1.4629,1.06765,0.000624351,0.000624351,0.000624351
21,1444.31,0.98871,1.53142,1.36751,0.80652,0.68263,0.79034,0.67643,0.59012,1.56741,1.06042,0.000616738,0.000616738,0.000616738
22,1511.74,1.02788,1.5425,1.393,0.77271,0.72892,0.78111,0.64258,0.64701,1.54855,1.11356,0.000609125,0.000609125,0.000609125
23,1579.23,0.94773,1.42108,1.32704,0.63407,0.6704,0.693,0.58556,0.6884,1.88258,1.11766,0.000601512,0.000601512,0.000601512
24,1646.32,0.92295,1.35065,1.30415,0.76888,0.77009,0.78626,0.66316,0.58887,1.57839,1.07423,0.000593899,0.000593899,0.000593899
25,1713.2,0.93049,1.3469,1.30116,0.83947,0.78686,0.85433,0.70115,0.66763,1.46455,1.1512,0.000586286,0.000586286,0.000586286
26,1780.7,0.97394,1.43252,1.35513,0.87025,0.72661,0.86702,0.72637,0.60749,1.46539,1.11323,0.000578672,0.000578672,0.000578672
27,1847.91,0.91491,1.34301,1.27761,0.79441,0.85985,0.86626,0.71686,0.6257,1.33124,1.11803,0.000571059,0.000571059,0.000571059
28,1914.46,0.93266,1.38011,1.33583,0.80288,0.79662,0.84909,0.7414,0.53213,1.43309,1.01803,0.000563446,0.000563446,0.000563446
29,1980.83,0.88954,1.30004,1.28024,0.74149,0.76185,0.83847,0.71933,0.57282,1.57267,1.03249,0.000555833,0.000555833,0.000555833
30,2047.44,0.85029,1.22397,1.24294,0.80498,0.70968,0.80711,0.67494,0.60993,1.50002,1.06178,0.00054822,0.00054822,0.00054822
31,2114.02,0.895,1.26445,1.27636,0.86373,0.71611,0.80606,0.68217,0.54295,1.4643,1.02152,0.000540607,0.000540607,0.000540607
32,2180.5,0.91727,1.33374,1.30885,0.78332,0.7235,0.81889,0.69297,0.58999,1.53471,1.04662,0.000532994,0.000532994,0.000532994
33,2247.28,0.91236,1.36965,1.30594,0.83838,0.7409,0.74745,0.65037,0.55812,1.53114,1.02566,0.000525381,0.000525381,0.000525381
34,2313.73,0.85864,1.26901,1.25757,0.78305,0.75809,0.84579,0.72492,0.57313,1.28484,1.02753,0.000517768,0.000517768,0.000517768
35,2379.99,0.82371,1.21241,1.24104,0.88689,0.78871,0.90139,0.77892,0.55598,1.08555,1.03039,0.000510155,0.000510155,0.000510155
36,2446.61,0.86723,1.21421,1.2605,0.90253,0.78863,0.88423,0.78214,0.54734,1.13673,1.01653,0.000502541,0.000502541,0.000502541
37,2512.96,0.83038,1.207,1.23857,0.87882,0.81204,0.8956,0.77288,0.56466,1.08873,1.02627,0.000494928,0.000494928,0.000494928
38,2579.45,0.81672,1.16703,1.23073,0.77544,0.85454,0.9063,0.78514,0.50326,1.0902,0.97645,0.000487315,0.000487315,0.000487315
39,2645.68,0.85505,1.20843,1.25453,0.85869,0.84407,0.91456,0.79894,0.4837,0.99527,0.97252,0.000479702,0.000479702,0.000479702
40,2711.8,0.82433,1.21247,1.23493,0.85178,0.8432,0.88998,0.78236,0.5055,0.99129,0.99186,0.000472089,0.000472089,0.000472089
41,2778.12,0.81389,1.20465,1.22933,0.74668,0.83877,0.85126,0.74166,0.50181,1.11858,0.99523,0.000464476,0.000464476,0.000464476
42,2845.43,0.79071,1.12957,1.19841,0.81893,0.82244,0.85836,0.75096,0.51116,1.14079,0.98723,0.000456863,0.000456863,0.000456863
43,2911.77,0.83363,1.2161,1.24762,0.8766,0.89215,0.93489,0.81789,0.49289,0.97122,0.98687,0.00044925,0.00044925,0.00044925
44,2977.84,0.81285,1.20276,1.23355,0.85205,0.93141,0.93245,0.8125,0.49652,0.90954,0.97117,0.000441637,0.000441637,0.000441637
45,3044.47,0.78574,1.12994,1.2009,0.93562,0.85984,0.93928,0.82166,0.48249,0.93954,0.97422,0.000434024,0.000434024,0.000434024
46,3111.04,0.82488,1.21166,1.24289,0.87154,0.80236,0.91633,0.80953,0.49395,1.05743,0.98073,0.000426411,0.000426411,0.000426411
47,3177.49,0.77407,1.12224,1.19582,0.88953,0.81714,0.93618,0.81222,0.50247,1.02354,0.98174,0.000418797,0.000418797,0.000418797
48,3244.16,0.76926,1.13547,1.19653,0.80231,0.86987,0.92622,0.80958,0.51365,1.02926,0.97905,0.000411184,0.000411184,0.000411184
49,3310.45,0.74485,1.0927,1.18234,0.97871,0.81446,0.92907,0.82965,0.49693,0.90958,0.9844,0.000403571,0.000403571,0.000403571
50,3377.02,0.79128,1.17165,1.22035,0.89158,0.75818,0.91909,0.81164,0.47522,1.08773,0.97062,0.000395958,0.000395958,0.000395958
51,3444.05,0.76358,1.15807,1.19514,0.87877,0.76725,0.92604,0.81085,0.50128,1.02117,0.97552,0.000388345,0.000388345,0.000388345
52,3510.59,0.76571,1.0716,1.18518,0.90073,0.83675,0.93487,0.82105,0.50619,0.90847,0.97282,0.000380732,0.000380732,0.000380732
53,3576.71,0.74663,1.09088,1.18215,0.90097,0.84106,0.94073,0.81983,0.50476,0.94711,0.97315,0.000373119,0.000373119,0.000373119
54,3643.12,0.75795,1.11409,1.18235,0.89186,0.80985,0.92861,0.82539,0.47157,0.93595,0.95606,0.000365506,0.000365506,0.000365506
55,3709.33,0.75786,1.13012,1.19125,0.88157,0.81229,0.92705,0.81785,0.48034,0.9385,0.9631,0.000357893,0.000357893,0.000357893
56,3775.79,0.76305,1.14075,1.19282,0.85297,0.77313,0.90683,0.7928,0.51983,0.95042,0.99761,0.00035028,0.00035028,0.00035028
57,3842.18,0.72516,1.08937,1.17133,0.82194,0.87151,0.91719,0.80255,0.54047,0.9608,1.00992,0.000342666,0.000342666,0.000342666
58,3908.76,0.75178,1.12923,1.19616,0.83648,0.89427,0.92281,0.7947,0.53579,0.91695,1.02056,0.000335053,0.000335053,0.000335053
59,3975.07,0.7455,1.09186,1.16957,0.87598,0.96154,0.94405,0.81257,0.51834,0.82354,0.98343,0.00032744,0.00032744,0.00032744
60,4041.46,0.73254,1.10062,1.17454,0.87111,0.87675,0.93597,0.82384,0.50543,0.82506,0.9827,0.000319827,0.000319827,0.000319827
61,4107.5,0.73232,1.04451,1.17184,0.80901,0.82593,0.92165,0.8136,0.47822,0.93558,0.95621,0.000312214,0.000312214,0.000312214
62,4173.89,0.71388,1.04333,1.16471,0.83267,0.83979,0.91373,0.8067,0.46405,1.01335,0.94967,0.000304601,0.000304601,0.000304601
63,4240.58,0.7033,1.00512,1.1448,0.94293,0.80888,0.91988,0.8076,0.49067,0.78748,0.96242,0.000296988,0.000296988,0.000296988
64,4306.73,0.69922,1.05058,1.14795,0.92193,0.8201,0.90965,0.80895,0.47916,0.82584,0.95909,0.000289375,0.000289375,0.000289375
65,4372.86,0.68911,0.99191,1.14639,0.8404,0.88348,0.92472,0.8207,0.45198,0.82531,0.94575,0.000281762,0.000281762,0.000281762
66,4439.02,0.73861,1.08445,1.18164,0.83314,0.85652,0.90701,0.80243,0.4503,0.91973,0.95784,0.000274148,0.000274148,0.000274148
67,4505.38,0.7272,1.1139,1.17232,0.84734,0.77806,0.89869,0.79835,0.46475,0.94221,0.9586,0.000266535,0.000266535,0.000266535
68,4571.39,0.69228,1.04972,1.15584,0.9597,0.76516,0.9198,0.82638,0.45924,0.85351,0.94598,0.000258922,0.000258922,0.000258922
69,4639.18,0.67783,0.98857,1.13483,0.82274,0.85278,0.93034,0.8213,0.48355,0.86134,0.9584,0.000251309,0.000251309,0.000251309
