epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.72425,1.88126,5.10915,2.18974,0.00167,1,0.00448,0.00403,0.40957,4.26405,0.94134,2e-05,2e-05,2e-05
2,3.1968,1.35071,5.55118,2.13781,0.00167,1,0.00434,0.00391,0.31919,4.22251,0.929,5.901e-05,5.901e-05,5.901e-05
3,4.56371,0.53768,3.78421,1.09468,0.00167,1,0.00433,0.00389,0.3808,4.20736,0.94455,9.67e-05,9.67e-05,9.67e-05
4,5.92189,0.53378,3.42776,0.94,0.00167,1,0.0044,0.00396,0.37152,4.30477,0.9473,0.00013307,0.00013307,0.00013307
5,7.28003,1.02363,3.8718,1.38042,0.00167,1,0.00434,0.00391,0.39927,4.40245,0.95355,0.00016812,0.00016812,0.00016812
6,8.64244,0.70872,3.57713,1.0527,0.00167,1,0.00456,0.00411,0.29159,4.20507,0.93204,0.00020185,0.00020185,0.00020185
7,10.0009,1.22672,4.3937,1.68841,0.00167,1,0.00454,0.00409,0.37305,4.21282,0.93803,0.00023426,0.00023426,0.00023426
8,11.4183,0.78232,3.33837,1.04493,0.00167,1,0.0045,0.00405,0.3408,4.05989,0.9286,0.00026535,0.00026535,0.00026535
9,12.7831,1.453,4.65678,1.89511,0.00167,1,0.00465,0.00465,0.31789,4.04701,0.92025,0.00029512,0.00029512,0.00029512
10,14.2491,0.75756,2.24121,1.01185,0.00167,1,0.00454,0.00409,0.41738,3.96503,0.93313,0.00032357,0.00032357,0.00032357
11,15.6089,1.1494,2.76868,1.24951,0.00167,1,0.00461,0.00415,0.54319,3.93966,0.96102,0.0003507,0.0003507,0.0003507
12,16.9327,0.45565,2.23167,0.72965,0.00167,1,0.00461,0.00415,0.54319,3.93966,0.96102,0.00037651,0.00037651,0.00037651
13,18.2644,0.30485,4.97693,0.48368,0.00167,1,0.00463,0.00417,0.50564,4.16791,0.95206,0.000401,0.000401,0.000401
14,19.6641,0.35912,5.3804,0.47957,0.00167,1,0.00454,0.00454,0.5068,4.40921,0.96745,0.00042417,0.00042417,0.00042417
15,21.0398,0.81632,3.36887,1.0536,0.00167,1,0.00454,0.00454,0.5068,4.40921,0.96745,0.00044602,0.00044602,0.00044602
16,22.4,0.51227,5.17667,0.64765,0.00167,1,0.0045,0.00405,0.54853,4.05731,0.95773,0.00046655,0.00046655,0.00046655
17,23.9049,0.53842,1.76213,0.95982,0.00167,1,0.995,0.8955,0.60931,3.84652,0.97296,0.00048576,0.00048576,0.00048576
18,25.2201,1.27696,3.44994,1.53477,0.00167,1,0.995,0.8955,0.60931,3.84652,0.97296,0.00050365,0.00050365,0.00050365
19,26.641,0.97014,3.32374,1.25647,0.00167,1,0.995,0.8955,0.60863,3.70482,0.98965,0.00052022,0.00052022,0.00052022
20,27.951,0.56861,2.09756,0.97933,0.00167,1,0.995,0.8955,0.60863,3.70482,0.98965,0.00053547,0.00053547,0.00053547
21,29.3741,0.90165,1.68954,1.03231,0.00167,1,0.4975,0.44775,0.44313,3.76953,0.94421,0.0005494,0.0005494,0.0005494
22,30.7261,0.50027,4.73833,0.55811,0.00167,1,0.4975,0.44775,0.44313,3.76953,0.94421,0.00056201,0.00056201,0.00056201
23,32.1534,0.55344,1.67756,0.91683,0.00167,1,0.24875,0.22387,0.42887,3.86611,0.93387,0.0005733,0.0005733,0.0005733
24,33.4776,0.68822,1.89497,0.94124,0.00167,1,0.24875,0.22387,0.42887,3.86611,0.93387,0.00058327,0.00058327,0.00058327
