epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.95723,1.99936,4.67312,2.33231,0.01167,1,0.14617,0.08552,0.59757,2.98741,0.91821,2e-05,2e-05,2e-05
2,3.73796,1.11841,3.05094,1.41813,0.01167,1,0.13243,0.0687,0.61371,3.0003,0.91138,5.8515e-05,5.8515e-05,5.8515e-05
3,5.33034,0.69761,3.47147,1.10896,0.01167,1,0.34838,0.16959,0.61769,2.98802,0.9155,9.505e-05,9.505e-05,9.505e-05
4,6.9379,0.65793,2.80883,0.96962,0.01167,1,0.43358,0.25508,0.63215,2.94775,0.92126,0.000129605,0.000129605,0.000129605
5,8.57358,0.91515,2.47602,1.12976,0.01167,1,0.48777,0.27859,0.63315,2.94228,0.93748,0.00016218,0.00016218,0.00016218
6,10.0916,0.71253,2.59984,0.98407,0.01167,1,0.50355,0.40851,0.67425,2.82761,0.98591,0.000192775,0.000192775,0.000192775
7,11.6906,1.19903,2.12371,1.39348,0.01167,1,0.46814,0.3789,0.68769,2.76129,1.0025,0.00022139,0.00022139,0.00022139
8,13.3336,0.72186,2.48284,0.9948,0.01167,1,0.50336,0.40688,0.70967,2.66244,1.01301,0.000248025,0.000248025,0.000248025
9,14.9618,0.94936,1.97235,1.2103,0.40638,0.57143,0.50284,0.42942,0.72533,2.57985,1.03191,0.00027268,0.00027268,0.00027268
10,16.6773,0.81182,2.12591,1.03363,0.77593,0.28571,0.48844,0.40184,0.75846,2.5553,1.04946,0.000295355,0.000295355,0.000295355
11,18.2464,1.16965,2.28724,1.29248,0.60946,0.44884,0.4987,0.37331,0.73263,2.59153,1.02711,0.00031605,0.00031605,0.00031605
12,19.8766,0.92292,1.73027,1.1495,0.60946,0.44884,0.4987,0.37331,0.73263,2.59153,1.02711,0.000334765,0.000334765,0.000334765
13,21.4043,0.86624,1.64362,1.06247,0.01167,1,0.46185,0.3941,0.65854,2.60656,1.00052,0.0003515,0.0003515,0.0003515
14,22.9956,0.67015,1.36809,0.97264,0.01167,1,0.43553,0.37168,0.65679,2.64512,0.98929,0.000366255,0.000366255,0.000366255
15,24.506,0.90487,1.86787,1.19062,0.01167,1,0.43553,0.37168,0.65679,2.64512,0.98929,0.00037903,0.00037903,0.00037903
16,26.0938,0.89828,1.91357,1.20624,0.01167,1,0.38828,0.29566,0.68136,2.68622,0.99433,0.000389825,0.000389825,0.000389825
17,27.7748,0.93798,1.5182,1.17072,0.01167,1,0.20141,0.14493,0.65937,2.72802,0.97172,0.00039864,0.00039864,0.00039864
18,29.3359,1.18873,2.24713,1.50787,0.01167,1,0.20141,0.14493,0.65937,2.72802,0.97172,0.000405475,0.000405475,0.000405475
19,31.0556,0.65772,2.52583,0.96861,0.01167,1,0.18706,0.13755,0.64236,2.71331,0.98481,0.00041033,0.00041033,0.00041033
20,32.6473,0.83846,1.60269,1.26303,0.01167,1,0.18706,0.13755,0.64236,2.71331,0.98481,0.000413205,0.000413205,0.000413205
21,34.3346,0.77637,1.46044,0.96589,0.01167,1,0.19563,0.15803,0.6654,2.6424,0.99491,0.0004141,0.0004141,0.0004141
22,35.8898,0.4457,8.46251,0.56535,0.01167,1,0.19563,0.15803,0.6654,2.6424,0.99491,0.000413015,0.000413015,0.000413015
23,37.6035,0.72228,1.35427,1.02907,0.01167,1,0.20552,0.16682,0.68683,2.62832,0.98528,0.00040995,0.00040995,0.00040995
24,39.1235,0.70331,2.09695,0.94847,0.01167,1,0.20552,0.16682,0.68683,2.62832,0.98528,0.000404905,0.000404905,0.000404905
25,40.7263,0.71703,2.24786,1.21457,0.01167,1,0.27252,0.21888,0.77602,2.59544,1.0166,0.00039788,0.00039788,0.00039788
26,42.2796,0.92549,2.25248,1.20042,0.01167,1,0.27252,0.21888,0.77602,2.59544,1.0166,0.000388875,0.000388875,0.000388875
27,43.8872,0.64503,1.31185,0.98061,0.01167,1,0.27252,0.21888,0.77602,2.59544,1.0166,0.00037789,0.00037789,0.00037789
